keyword,title,author,duration,play,bvid,score
起风了,声乐老师锐评林俊杰神级Live《起风了》！最难唱的版本！燃爆全场！,Jason-老湿,847,2059999,BV1sA4y1R7Dg,0
起风了,二十个细节彻底看懂《起风了》！宫崎骏反战败？他有没有为战争洗白？二郎为什么要当着女主抽烟？,5毒士,1984,124410,BV1Jy411i7C3,0
起风了,祁奕翔直播拉了个大的。《起风了》超级超级好听，一定要听,流连在贝加尔湖畔,132,160423,BV1knbfevEwh,0
起风了,【蓝光】高桥优《ヤキモチ》神曲MV完整版(《起风了》日语原版),音乐私藏馆,311,4110871,BV19J411E7rk,1
起风了,吴青峰翻唱起风了，另一个感觉啊，原唱开始不淡定了,yi语小音,294,377420,BV1ut411L7GS,1
起风了,《起风了》原版完整版-一首起风了带你回到2018年夏天,依旧是小白啊,308,462513,BV1G5411J7UB,2
起风了,青岛大学毕业典礼一首高音版《起风了》点燃全场，这才是青春该有的样子,小小流氓兔,924,30302047,BV1s4411w7mG,0
起风了,【无损音质】《起风了》-买辣椒也用券  “起风了，也让我想起了那年夏天”,西伯利亚麻雀,327,2085940,BV1ft4y1G7so,2
起风了,【Jason】作死挑战林俊杰版《起风了》 高音C5直接炸裂起飞,Jason-老湿,220,1151942,BV1Rr4y137n9,0
孤勇者,【教程】如何十分钟把《孤勇者》改成网络口水歌？,特别厉害的祁奕翔,354,449332,BV1Yt4y1L7We,0
孤勇者,【4K60FPS】陈奕迅《孤勇者》燃到深情! 谁说站在光里的才算英雄！,范同学Anuoian,270,2894894,BV1ES4y1R7XP,1
孤勇者,薛之谦和张杰，同样是直播现场，同样是一首歌《孤勇者》，哪位唱功更强？,西西吃肉丸,249,3290,BV1ZyQdBnESv,0
孤勇者,【英雄联盟】百万级录音棚听陈奕迅《孤勇者》动画剧集《英雄联盟：双城之战》中文主题曲【Hi-Res】,JLRS-jayfm,257,1214713,BV1p24y1E73T,0
孤勇者,薛之谦的孤勇者真的绝了,TD浪人,272,52269,BV1X14y137s6,0
孤勇者,【腾格尔】注入灵魂！《孤勇者》来了，送给我的小粉丝们！,腾格尔,292,20513980,BV1ua411872R,1
孤勇者,[2025年央视春晚]歌曲《孤勇者》,央视网快看,219,295692,BV1NpFseNEYz,1
孤勇者,全网最详细《孤勇者》钢琴弹唱教学！,悦耳钢琴-小晖,338,474775,BV1H34y1R7mJ,0
孤勇者,【张杰、薛之谦】跨时空合唱《孤勇者》梦幻联动 是孤是勇？,扣_1佛祖原谅我,267,173897,BV1hp4y1u7HP,0
孤勇者,【锐评】第二个孤勇者？陈奕迅新歌《这样很好》什么水平？,特别厉害的祁奕翔,692,293285,BV1xMDfYgE5d,0
孤勇者,【时光音乐会】张杰《孤勇者》,咪咕音乐官方,273,1119532,BV1iH4y1R7dt,1
孤勇者,【英雄联盟】陈奕迅《孤勇者》全球首唱SHOW,英雄联盟,312,3567296,BV1qd4y1G7zJ,1
孤勇者,【官方ENCORE - 香港站】《孤勇者》｜陈奕迅FEAR AND DREAMS 香港站｜第二十六场 13 JAN 2023 ENCORE,陈奕迅FearNDreams巡演,265,303364,BV1gD4y1H7Mj,1
孤勇者,歌曲教学 陈奕迅《孤勇者》简单教唱,彭休休教唱歌,122,1827093,BV1xL4y1n712,0
孤勇者,《孤勇者》（《英雄联盟：双城之战》动画剧集中文主题曲）,英雄联盟,274,47786583,BV1wr4y1y7nx,1
孤勇者,【凤凰传奇翻唱孤勇者】去吗？去啊！！战吗？战啊！！！,凤凰传奇,269,10844264,BV1LY411E7UY,0
孤勇者,【春晚锐评】陈奕迅《孤勇者》改编什么水平？薛之谦独唱使人泪目！春晚Reaction,特别厉害的祁奕翔,682,191348,BV1o6FfeSEYZ,0
孤勇者,前方高能！《孤勇者》女声版 超A燃炸！！,祖娅纳惜,271,32244114,BV1dS4y197kY,0
孤勇者,【乐评区】中文互联网三大乐评之神代表作盘点（丁太升，阿张，祁弈翔）,ZL享,361,200384,BV1d9bszWEdr,0
孤勇者,【英雄联盟手游】陈奕迅x《双城之战》 中文主题曲《孤勇者》MV,英雄联盟手游,274,812680,BV1K44y1e7gv,1
林俊杰 江南,【4K 60FPS修复】林俊杰&amp;李健合唱《江南》LIVE 就是缘！ JJ20演唱会武汉站-超清官摄完整版,林俊杰音乐星球,253,906391,BV1tC4y1R7gL,0
林俊杰 江南,在百万豪装录音棚大声听林俊杰《江南》【Hi-res】,JLRS-LeoFM,270,7908088,BV1Sy4y1R75J,3
林俊杰 江南,总要学会一首经典吧？林俊杰的《江南》不难，5分钟学会？,悦耳钢琴-小晖,366,19714,BV1P7tTeXEKs,0
林俊杰 江南,【林俊杰唱功对比分析】江南|跨越十七年的进阶，唱功天花板原来是这样炼成的！,林俊杰的小麦克风,1395,41522,BV1jA411P7CN,0
林俊杰 江南,林俊杰《江南》和弦进行,乐感音乐楚老师,192,2474,BV1MBc3e6ErQ,0
林俊杰 江南,⚡《太阳之子》但林俊杰中国风？？？⚡,贾逸可,166,66206,BV1f1X8BmEum,0
林俊杰 江南,林俊杰神曲《江南》全解析|20年了，你真的听懂了这首歌吗？,古登堡爵士,952,98538,BV1vC411772o,0
林俊杰 江南,林俊杰新专辑怎么样？带你一起听！,特别厉害的祁奕翔,531,143598,BV1qa4y137bT,0
林俊杰 江南,【4K60FPS】林俊杰《江南》中国风现场！现象级神曲！,音乐私藏馆,266,2888781,BV17w41197v6,1
林俊杰 江南,【锐评】现在最火的歌就这？热歌榜测评！让我破大防！（2025第四季度）,特别厉害的祁奕翔,1201,699219,BV1DZUcBGEa9,0
林俊杰 江南,原来林俊杰将《江南》改编过了这么多次！！,林家音乐,1201,59285,BV1g341167qJ,0
林俊杰 江南,【林俊杰】JJ20武汉站《江南》官摄,林俊杰甜品铺,253,139120,BV1ji4y1v7JT,1
林俊杰 江南,万人学书《江南》来了，究极完整弹唱教学！,悦耳钢琴-小晖,376,167668,BV1dS4y1X7h4,0
林俊杰 江南,周王陶林已是过去式！这些新人早已经超越并碾压他们！周王陶林已成时代的眼泪？华语乐坛的发展太迅速！原来这么多的新人早已将周王陶林甩在了身后！,DreamBoy-梦中油你,2143,107745,BV1BvAYzEE36,0
林俊杰 江南,这首让林俊杰红遍大江南北的歌曲！细节拉满！带你轻松掌握这首中国风R&amp;B《江南》！,Jason-老湿,632,569987,BV1KL4y1x7xM,0
林俊杰 江南,"对比2005年和2015年《江南》live,让你了解林俊杰的唱功进步有多离谱！",Jason-老湿,834,759310,BV1p84y1o7g9,0
林俊杰 江南,爷青回！【林俊杰】-《江南》音高测量+无伴奏人声版,爱吃果果的噜噜噜,433,54111,BV1Vo4y117G7,0
林俊杰 江南,【4K30FPS】林俊杰&amp;朗朗新加坡国庆献唱《江南》《灵魂的共鸣》 超绝合作,七月的音乐馆,910,67649,BV15hnPz3ERc,0
林俊杰 江南,让我们听一下杀手底色的江南穿越去 Finallap的北京首场开幕,音乐雷达Lqj,249,4511,BV1ZaKBziEBA,0
林俊杰 江南,国外声乐老师如何评价 林俊杰 李健 周杰伦《江南》《可惜没如果》《说好不哭》嘉宾合唱舞台 REACTION,JKAI杰凯,2922,1080630,BV1bG411z7Bj,0
米津玄师 Lemon,【米津玄师】 “原来八爷是这样编曲的啊！”全网最高品质《Lemon》伴奏制作！MIDI工程演示,MiDi匠做MiDi,688,119757,BV13W411o7PM,0
米津玄师 Lemon,【4K顶级画质】米津玄师《Lemon》2019神级现场，八爷永远滴神！！！,蚕豆音乐侠,277,12138126,BV1cY41117NG,1
米津玄师 Lemon,[HDTV TS]米津玄師 - Lemon [2018.12.31 第69回NHK紅白歌合戦](1440x1080),ayuboyvip,390,101,BV1cKQqBvExx,1
米津玄师 Lemon,在百万豪装录音棚大声听米津玄师《Lemon》【Hi-res】,JLRS-LeoFM,259,9812803,BV1tY411B7T9,3
米津玄师 Lemon,米津玄师《Lemon》教学全网最详细版本,55老师,5072,992974,BV1wy4y1k7aZ,0
米津玄师 Lemon,米津玄师《Lemon》编曲解析(上）,一涵L,1087,3809,BV19LWfegEdB,0
米津玄师 Lemon,米津玄师《Lemon》全音高标注,Minecraft明沐,254,14730,BV1fkMszuEvw,0
米津玄师 Lemon,lemon 米津玄师总谱分谱乐队谱吉他键盘钢琴贝斯鼓弦乐人声四线谱五线谱六线谱简谱功能谱扒谱歌曲音乐乐器演奏伴奏动态谱音乐节演唱会编曲混音音乐制作,绿马音乐,256,3824,BV1kqZ8YGEei,0
米津玄师 Lemon,国外声乐老师如何评价 米津玄师《Lemon》LIVE舞台初体验 REACTION,JKAI杰凯,684,1022909,BV1DQ4y1V7AK,0
米津玄师 Lemon,和弦进行教科书！—米津玄师《lemon》,爵士汪汪,1419,28816,BV18u4y167ru,0
米津玄师 Lemon,疑似米津玄师采访中直面《lemon》改编作出回应,不再摆烂的白蓝,82,188928,BV1N472zAEuL,0
米津玄师 Lemon,【米津玄师实体专辑】日版《Lemon》《馬と鹿》初回限定CD＋DVD 开箱速览,丶宇玥伦,260,1494,BV1m14y1W7yH,0
米津玄师 Lemon,米津玄师谈「Lemon」的创作历程,无糖银时,286,2420,BV1BJjXzMEhy,0
米津玄师 Lemon,【AI林俊杰】Lemon-米津玄師,Blues-Luv,257,2730,BV1iy421b78Y,0
米津玄师 Lemon,神曲分析《Lemon》为什么好听？米津玄师的唱功到底如何？【歌神怎么唱】,VBS声音平衡歌唱教学,942,11747,BV1s541187A8,0
米津玄师 Lemon,米津玄師『Lemon』 MV 1080P,成宮光義,275,3928418,BV164411D7vc,1
米津玄师 Lemon,把米津玄师的《lemon》改成大调会怎么样呢？,Rainbow_Dreamer,181,1303102,BV16b41167We,0
米津玄师 Lemon,【4𝐊/𝟔𝟎𝐅𝐏𝐒】米津玄师《Lemon》精选MV，油管破7亿的暖心日文歌！,那歌Music,256,587149,BV1qD4y137t2,1
米津玄师 Lemon,【八爷】米津玄师 2025梅赛德斯奔驰中心 Lemon,Arsenal2011,360,8292,BV1EXjqz8ELn,0
米津玄师 Lemon,全站最快4分钟学唱《Lemon》米津玄師 罗马音+中文谐音 「非自然死亡」主题曲,空耳小妹,255,855955,BV1Cf4y1i7hm,0
后来 刘若英,在百万豪装录音棚大声听刘若英《后来》【Hi-res】,JLRS-LeoFM,340,3221158,BV1HP4y1X7ye,3
后来 刘若英,【4k】刘若英《后来》万人大合唱,杰克凯鲁亚克1,353,148482,BV1rp4y177Xb,1
后来 刘若英,刘若英《后来》库乐队扒带，有没有一首歌可以把你听流泪？,小白求关爱,344,7914,BV1ZT4y1u7tr,0
后来 刘若英,《后来》刘若英 MV 1080P 50帧(CD音轨),梁乐观同学,341,1373082,BV1zV411x7BH,1
后来 刘若英,刘若英到52岁才知道《后来》的真相，作词家为男孩埋了21年的暗线【李知夕】,李知夕,567,130252,BV1gV4y1Y7NC,0
后来 刘若英,刘若英《后来》钢琴极限还原,Cuppix_,341,5251,BV1XeX4BbEba,0
后来 刘若英,【Hi-Res无损】刘若英-后来「后来 我总算学会了 如何去爱」动态歌词,索性自挂东南枝,342,1156693,BV1Fo4y1H7vt,2
后来 刘若英,刘若英泪崩现场：她唱的是《后来》，想的却是【过去】,给我一首歌的时间time,312,37146,BV1CJw5eVEBV,1
后来 刘若英,【附谱】后来 - 演唱原声：刘若英 吉他弹唱示范，动态吉他谱,吉他专家,195,122977,BV1Rv4y117jz,0
后来 刘若英,后来-刘若英（4K高清）,萤火飞虫,281,74778,BV1eU4y1P7KR,1
后来 刘若英,外国音乐人第一次听刘若英，《后来》真的太经典！,JoeCreator,783,339146,BV1ST421a783,0
后来 刘若英,【Live&#x27;02】刘若英《后来》你都如何回忆我，带着笑或是很沉默？,tAAAAAAAAAAo,334,24618,BV1jF411B73V,1
后来 刘若英,"《后来-刘若英》女神不哭,十万人帮唱,最感动的一个版本",影音珍藏馆,207,232085,BV18z411B7uE,1
后来 刘若英,《后来》刘若英乐队键盘全曲示范,键盘手卓木木,336,5791,BV1xebmziEyw,0
后来 刘若英,原来刘若英后来的和声是梁静茹,林虎琥,99,28351,BV125tXeHEjP,0
后来 刘若英,【刘若英Top20】一超多强！带你回味奶茶经典作品！刘若英，诚挚朴实的歌声，轻易感染听众,日月灯花,836,23281,BV1PXm6Y2E1Z,0
后来 刘若英,【官方Live MV】刘若英《后来》,相信音乐,302,22671,BV1PM411s7N1,1
后来 刘若英,【4K修复】刘若英 - 后来 MV 2160P修复版,zyl2012_音乐无限,340,336480,BV1U34y117UN,1
后来 刘若英,刘若英《后来》钢琴弹唱,星辰流行钢琴,265,22227,BV11t411k7Vu,0
后来 刘若英,刘若英《后来》live音高测量,肥肠肥肠脐带,280,5930,BV1L94y1k7hr,0
deadman,【RAY评】蔡徐坤《deadman》惊艳蜕变！刘柏辛新生代舞曲！,阿张RayZhang,800,2278097,BV17Q7EzGEe9,0
deadman,【锐评】蔡徐坤新歌《Deadman》Reaction！蔡徐坤是最被低估的歌手？,特别厉害的祁奕翔,833,1609539,BV1UhjqzyE29,0
deadman,【KUN】全新单曲《Deadman》 MV上线！,明星B街区,249,6759281,BV1zcjyzEEQC,1
deadman,蔡徐坤《Deadman》百万豪装录音棚大声听,JLRS-LeoFM,234,1855335,BV1DghJzKEoK,3
deadman,蔡徐坤新歌Deadman音高测量 这么多高音？,周比特夜殇,249,31571,BV1Hz7rzUEx1,0
deadman,蔡徐坤的《Deadman》用了什么手法？为什么能惊艳众人！,悦耳钢琴-小晖,474,38730,BV1aTMnzmESF,0
deadman,实力圈粉！蔡徐坤新歌《Deadman》现场如何？声乐老师带你解析！,Jason-老湿,466,1015820,BV1wLNqziEMH,0
deadman,怎么能像蔡徐坤一样帅气的演唱《Deadman》- Ray叔的分享,Ray叔爱唱歌,437,849895,BV1LwNizxEt4,0
deadman,节选《Dead Man》【中英双语古琴课】,古琴忘机古琴忘机,0,3485,,0
deadman,【锐评】蔡徐坤新歌唱不了现场？《Deadman》音乐节现场Reaction,特别厉害的祁奕翔,608,960766,BV15J7azrEG4,0
deadman,代唱？现场不行？黑子说话！蔡徐坤新歌《Deadman》现场Live,你可不可以让一下,229,6528959,BV1b572z3EYr,1
deadman,【混声教学】挑战蔡徐坤的《Deadman》，讲一下头声训练的误区以及混声唱法在实战中的运用！,好听音乐_李子乔,688,21443,BV1d88EzzEsm,0
deadman,国外声乐老师大实话锐评之：蔡徐坤初体验/最抽象进化史 REACTION,JKAI杰凯,2364,812245,BV114aDzUEcB,0
deadman,第266集 | 如何评价蔡徐坤新歌《Deadman》,乐感音乐吴老师,121,12333,BV1Qm7GzDEXr,0
deadman,我把蔡徐坤请来聊了聊新歌以及...丨HOPICO,HOPICO,1490,16505130,BV17eKBzKEuZ,0
deadman,《Deadman》是蔡徐坤的进步，还是华语乐坛的退步？【路哥锐评】,路哥会写歌,1324,1298510,BV1DPKSzsETV,0
deadman,【方大同X蔡徐坤】“爱在dead man”,比巴卜喂,235,2466537,BV1ZmgrzoERP,0
deadman,&quot;在 学 校 金 秋 晚 会 上 唱《 D e a d m a n》？？？&quot;,板栗不好吃awa,264,4604093,BV1zGH7z9Ed6,0
deadman,【实力圈粉】蔡徐坤全开麦现场技惊四座，强混弱混五组高音信手拈来，内娱的音乐审美什么时候才能提高？,好听音乐_李子乔,650,294613,BV1RL7azVEo7,0
deadman,【周杰伦太阳之子VS KUN同名专辑】超话之战重现？新老对战孰强孰弱？华语乐坛下山的神VS创作巅峰期的坤，究竟谁能取得胜利？,暗号伦,834,253360,BV1phQkBXEoh,0
青花瓷,周杰伦《青花瓷》百万豪装录音棚大声听,JLRS-LeoFM,239,478910,BV1bhfzBrEMV,3
青花瓷,【4K60FPS】周杰伦《青花瓷》中国风天花板神级现场！永远滴神！,音乐私藏馆,236,6517383,BV1cz4y1o7S6,1
青花瓷,《青花瓷粤语版》全曲白小白原创中国风爵士舞教学,TranScend全盛舞蹈工作室,0,16680,,0
青花瓷,再聊太阳之子。钢琴奶奶怎么看周杰伦（下）千里之外青花瓷,钢琴奶奶-尹松,2520,25268,BV1zcXTBnEDv,0
青花瓷,【周杰伦】只听人声你就亏了(1)《青花瓷》伴奏完全扒带拆解.,MiDi匠做MiDi,946,810074,BV1yt41177RB,0
青花瓷,为什么《青花瓷》是最屌的中国风？,悦耳钢琴-小晖,419,59137,BV1PV4y1B76D,0
青花瓷,【4K修复】周杰伦 - 青花瓷MV 2160P修复版 经典中国风,zyl2012_音乐无限,242,9922415,BV1r7411p7R4,1
青花瓷,锐评《逐玉》OST：那个写过《青花瓷》的人，现在只会堆词了……,怜青的古风歌词,1393,1147901,BV1Nnw4zrEWh,0
青花瓷,错误百出却是国风经典？《青花瓷》究竟有何魅力？,夏雨听风1,596,79048,BV1Pw4m1o7Ts,0
青花瓷,周杰伦中国风歌曲天花板《青花瓷》，美到不行~,周杰伦FM首播原创号,262,63687,BV1hM4m1971n,0
青花瓷,在百万级录音棚听周杰伦《青花瓷》【Hi-Res】,JLRS-jayfm,237,1671308,BV1BP4y1671c,0
青花瓷,什么叫中国风天花板啊？声乐老师锐评周董顶级现场《青花瓷》，听完上头全部当和尚！,Jason-老湿,642,441656,BV1jg411J7io,0
青花瓷,你知道《青花瓷》美，但你真的知道它美在哪吗？,Lycen_,380,331688,BV13a411T7pQ,0
青花瓷,【锐评】周杰伦新专辑有那么差吗？《太阳之子》全专测评（下）！,特别厉害的祁奕翔,1961,393121,BV1qwXxBaEeM,0
青花瓷,听一遍青花瓷 敬我们初相识 歌曲教学 周杰伦《青花瓷》简单教唱,彭休休教唱歌,117,105066,BV1NLHsexEjn,0
青花瓷,古琴移植曲《青花瓷》单曲精讲课,古琴张艺平,0,404,,0
青花瓷,新专辑中国风是哪种类型？回顾每张专辑中的最强中国风！,音乐阿林哥,917,5133,BV1BXAEz6E7r,0
青花瓷,【周杰伦】只听人声你就亏了往期(1-25)扒带伴奏拆解纯享合集.,MiDi匠做MiDi,6655,2101639,BV1uK4y177zi,0
青花瓷,最初的青花瓷原来是这样的！（demo）！！速听！,旺旺掀被zz,105,178156,BV1yd4y197E3,0
青花瓷,周杰伦《青花瓷》和弦进行分析，这首歌真经典,乐感音乐楚老师,223,3032,BV1SPcBemEi7,0
岁月神偷,在百万豪装录音棚大声听 金玟岐《岁月神偷》【Hi-res】,JLRS-LeoFM,246,2667497,BV1kH4y1i7FY,3
岁月神偷,【时光音乐会】张杰《岁月神偷》,咪咕音乐官方,256,1387569,BV1Su4y1t7Zc,1
岁月神偷,岁月神偷 清唱,Zjing_ing,48,70,BV1m7AGzgERX,0
岁月神偷,『下架歌曲』《岁月神偷》（demo）金玟岐（附下载链接）,昵称已被其他人注册,166,258301,BV1tV4y137Pq,0
岁月神偷,岁月神偷 官方版 - 金玟岐,宙斯UP主,250,2198983,BV1pp411d7PP,1
岁月神偷,【木鱼微剧场】导演将亲身经历写成剧本，拍出了十年来最好的港片之一《岁月神偷》,木鱼水心,1966,1621533,BV1NE411C7kU,0
岁月神偷,【Jason＆宣宣】跨越时空的合唱《岁月神偷》，高音和声注入灵魂！,Jason-老湿,230,488656,BV18P4y1q7Qg,0
岁月神偷,【张杰】成都跨年演唱会《岁月神偷》首唱 高清近景加字幕,JASON-张杰音乐馆,238,67705,BV1YN4y1W7wW,1
岁月神偷,【第682集】岁月神偷 - 演唱原声：金玟岐 吉他弹唱示范，动态吉他谱,吉他专家,102,3371,BV1hHKqzsE3M,0
岁月神偷,“烂片出神曲2.0！”一首歌能给电影加多少分？【狗蛋急救室】,狗大蛋子,1217,1535753,BV1HwkeBME44,0
岁月神偷,汪苏泷现场再唱《岁月神偷》依然开口跪，附加神仙乐队配合,CC喵同学,254,855719,BV1j54y1m7j1,0
岁月神偷,现在的小孩都是怪物吗？让汪苏泷也甘愿沦为伴唱的12岁女孩！媲美原唱的《岁月神偷》！,诺诺诺菲尔,218,2748946,BV1BW411y7BG,0
岁月神偷,【周杰伦】只听人声你就亏了往期(1-25)扒带伴奏拆解纯享合集.,MiDi匠做MiDi,6655,2101639,BV1uK4y177zi,0
岁月神偷,建议周董把20年前的垃圾桶再翻一翻,高一桶,424,440520,BV1hduQzuELp,0
岁月神偷,周杰伦记者会透露第三支MV!,监学家,237,10799,BV1uQQBBXENK,0
岁月神偷,王源 金玟岐《岁月神偷》合作舞台【天赐的声音】,金玟岐,124,60494,BV1PcKNzSEAS,1
岁月神偷,2026年演唱会门票最贵的10位歌手排行榜，第一名歌手竟是一位近50岁的老登歌手！,通哥天天排行榜,600,46552,BV1iTA5zREat,0
岁月神偷,AI 孙燕姿 翻唱 《岁月神偷》原唱金玟岐,geekan,249,4424,BV1wfPyzxEte,0
岁月神偷,【AI薛之谦】翻唱《岁月神偷》时间是让人猝不及防的东西,艺首AI翻唱,126,2649,BV1pfmHYfEPa,0
岁月神偷,[钢琴弹唱]《岁月神偷》的24万评论是48万人的故事，网友：在操场哭了一夜！,亦学钢琴-飞鱼,178,2514,BV1qb41117Z3,0
海阔天空,【4K60FPS】Beyond《海阔天空》神级现场！纪念黄家驹！,音乐私藏馆,203,28716277,BV1Tq4y1778D,1
海阔天空,在百万豪装录音棚大声听Beyond《海阔天空》【Hi-res】,JLRS-LeoFM,242,5531891,BV1dL411Z7uG,3
海阔天空,【循环歌单】&quot;见过花开就好 何必在意花为谁开&quot;|《海阔天空(尾奏)》,桥延音享,1833,119041,BV1NxQ9BdEvP,0
海阔天空,陶喆《海阔天空》up听高潮了,风乱发星空下,307,105295,BV1ys421u7Kh,0
海阔天空,【𝐇𝐢-𝐑𝐞𝐬无损音质】｜《海阔天空》- BEYOND -‘原谅我这一生不羁放纵爱自由’,VV音乐局,327,479508,BV1WKg3z5Ehi,3
海阔天空,国外声乐老师如何评价 BEYOND黄家驹《海阔天空》LIVE舞台 REACTION,JKAI杰凯,1283,1635939,BV1hJ4m147Zv,0
海阔天空,【4K60FPS】黄家驹《海阔天空》最后公开演唱现场！再见却成了诀别,音乐私藏馆,320,984159,BV1F1grzFEiB,1
海阔天空,BEYOND《海阔天空》小白库乐队扒带，致敬RESPECT！,小白求关爱,319,37899,BV1sv411A7bb,0
海阔天空,4K超清修复《海阔天空》1996现场版，目测全站最清晰！,邓仔中意Beyond,412,1854067,BV1XM4y1E7Jb,1
海阔天空,10年前左右MIDI扒带制作的 Beyond《海阔天空》斗胆PK全网 (¬ -̮ ¬),gulun520530,325,5886,BV1HNuUz2EP9,0
海阔天空,1080修复-海阔天空MV（自测全网最清）,骄傲本人,326,2213471,BV1dt4y157Pd,1
海阔天空,《海阔天空》cubase扒带 90%还原！重新处理了一下细节！加多了一条吉他分解轨！,BernieGui,320,2019,BV1Khh4exEBm,0
海阔天空,Beyond经典《海阔天空》音高测量,迅心花舍1998_,130,80513,BV1uY4y1P7YY,0
海阔天空,假如尾奏有段位，那么谁才是夯爆全场的那首.,GkTz1,158,923200,BV15EArzAEq7,0
海阔天空,惊！高中生翻唱海阔天空不要太像。,秋秋轩吖Ethereal,311,3919558,BV197411H7F4,0
海阔天空,男生迟到被罚站唱歌，本以为会丢脸，没想到开口第一句就惊艳了,下饭音乐,269,2460714,BV1GQN4zcEQZ,0
海阔天空,【海阔天空尾奏0.8x】见过花开就好 何必在意花为谁开,欲宝Remix,157,106872,BV1wDAFzFEh7,0
海阔天空,家驹死亡演示图事件经过,绝响-凌虚L闊の_融通,184,875336,BV1kG411b7Eq,0
海阔天空,【4K顶级画质】Beyond - 海阔天空 神级现场 洗版级收藏！,唯一8090,261,469352,BV1vt4y1G7Py,1
